Id,Category
445,4
446,6
447,6
448,0
449,4
450,0
451,2
452,4
453,9
454,7
455,7
456,4
457,6
458,1
459,0
460,3
461,5
462,7
463,0
464,6
465,4
466,2
467,4
468,6
469,6
470,4
471,1
472,4
473,8
474,4
475,1
476,9
477,9
478,6
479,5
480,4
481,3
482,1
483,9
484,0
485,4
486,4
487,9
488,9
489,9
490,4
491,8
492,6
493,1
494,4
495,9
496,0
497,4
498,1
499,4
500,3
501,1
502,1
503,9
504,9
505,4
506,4
507,4
508,9
509,9
510,1
511,1
512,6
513,9
514,4
515,1
516,3
517,9
518,6
519,6
520,4
521,6
522,3
523,7
524,6
525,2
526,0
527,3
528,6
529,6
530,4
531,4
532,4
533,1
534,4
535,3
536,9
537,1
538,6
539,3
540,7
541,0
542,4
543,3
544,4
545,4
546,0
547,9
548,4
549,1
550,5
551,5
552,0
553,9
554,7
555,3
556,9
557,6
558,6
559,4
560,2
561,7
562,1
563,9
564,1
565,3
566,9
567,3
568,1
569,9
570,1
571,6
572,6
573,4
574,1
575,8
576,4
577,0
578,9
579,4
580,5
581,3
582,0
583,6
584,6
585,5
586,8
587,9
588,3
589,5
590,1
591,4
592,4
593,6
594,5
595,4
596,3
597,4
598,4
599,4
600,4
601,1
602,0
603,6
604,6
605,4
606,6
607,4
608,1
609,0
610,9
611,9
612,6
613,0
614,4
615,6
616,4
617,9
618,6
619,6
620,3
621,9
622,9
623,1
624,4
625,3
626,3
627,8
628,9
629,9
630,6
631,4
632,9
633,9
634,9
635,0
636,5
637,1
638,4
639,1
640,0
641,9
642,1
643,4
644,4
645,5
646,9
647,9
648,5
649,9
650,3
651,1
652,8
653,1
654,4
655,6
656,1
657,0
658,4
659,0
660,5
661,9
662,4
663,4
664,9
665,0
666,4
667,9
668,6
669,4
670,5
671,3
672,1
673,5
674,9
675,3
676,3
677,4
678,9
679,3
680,9
681,0
682,8
683,1
684,4
685,6
686,1
687,6
688,3
689,3
690,9
691,1
692,4
693,6
694,1
695,1
696,1
697,9
698,4
699,3
700,7
701,4
702,7
703,2
704,3
705,6
706,4
707,4
708,3
709,9
710,4
711,0
712,3
713,4
714,3
715,6
716,7
717,7
718,5
719,3
720,2
721,0
722,9
723,8
724,9
725,4
726,9
727,9
728,9
729,5
730,2
731,6
732,6
733,1
734,4
735,9
736,4
737,3
738,6
739,7
740,7
741,4
742,8
743,7
744,5
745,1
746,4
747,0
748,3
749,4
750,6
751,9
752,3
753,9
754,3
755,9
756,4
757,4
758,1
759,4
760,4
761,3
762,8
763,3
764,3
765,4
766,5
767,9
768,3
769,4
770,1
771,4
772,6
773,0
774,3
775,4
776,6
777,9
778,1
779,4
780,1
781,9
782,7
783,0
784,7
785,3
786,6
787,4
788,4
789,7
790,6
791,3
792,4
793,5
794,1
795,0
796,5
797,4
798,4
799,1
800,0
801,3
802,1
803,0
804,0
805,4
806,9
807,7
808,4
809,4
810,6
811,9
812,6
813,6
814,3
815,5
816,7
817,5
818,4
819,2
820,4
821,9
822,3
823,1
824,5
825,6
826,1
827,6
828,3
829,2
830,4
831,7
832,1
833,6
834,6
835,4
836,5
837,5
838,1
839,2
840,8
841,7
842,7
843,0
844,4
845,9
846,3
847,0
848,1
849,0
850,1
851,1
852,6
853,4
854,9
855,7
856,6
857,7
858,3
859,4
860,1
861,8
862,7
863,4
864,4
865,5
866,1
867,9
868,1
869,4
870,6
871,4
872,7
873,0
874,1
875,6
876,7
877,8
878,5
879,0
880,4
881,4
882,0
883,7
884,1
885,4
886,3
887,1
888,1
889,9
890,3
891,2
892,0
893,1
894,3
895,9
896,1
897,4
898,1
899,6
900,1
901,1
902,1
903,4
904,1
905,3
906,6
907,1
908,9
909,9
910,6
911,3
912,6
913,1
914,2
915,4
916,8
917,1
918,6
919,0
920,4
921,1
922,7
923,1
924,1
925,9
926,1
927,4
928,9
929,7
930,6
931,0
932,3
933,8
934,9
935,6
936,0
937,0
938,4
939,1
940,9
941,6
942,4
943,6
944,9
945,5
946,8
947,0
948,1
949,1
950,2
951,4
952,6
953,5
954,9
955,9
956,9
957,4
958,2
959,4
960,3
961,1
962,5
963,9
964,8
965,8
966,1
967,3
968,3
969,9
970,4
971,6
972,9
973,8
974,6
975,4
976,4
977,5
978,3
979,6
980,0
981,6
982,8
983,4
984,9
985,1
986,9
987,4
988,3
989,9
990,0
991,6
992,0
993,1
994,6
995,6
996,3
997,4
998,1
999,4
1000,9
1001,9
1002,3
1003,7
1004,6
1005,7
1006,4
1007,2
1008,1
1009,0
1010,9
1011,4
1012,6
1013,3
1014,9
1015,9
1016,5
1017,9
1018,7
1019,3
1020,1
1021,5
1022,6
1023,5
1024,4
1025,0
1026,4
1027,9
1028,9
1029,5
1030,4
1031,6
1032,4
1033,5
1034,9
1035,9
1036,4
1037,1
1038,1
1039,4
1040,1
1041,4
1042,4
1043,4
1044,5
1045,6
1046,7
1047,9
1048,3
1049,6
1050,3
1051,4
1052,1
1053,6
1054,6
1055,4
1056,3
1057,6
1058,0
1059,5
1060,0
1061,4
1062,3
1063,4
1064,2
1065,1
1066,6
1067,9
1068,4
1069,1
1070,1
1071,8
1072,1
1073,4
1074,1
1075,6
1076,6
1077,3
1078,8
1079,3
1080,4
1081,4
1082,4
1083,9
1084,5
1085,4
1086,6
1087,0
1088,3
1089,6
1090,1
1091,6
1092,4
1093,4
1094,7
1095,6
1096,4
1097,3
1098,6
1099,4
1100,4
1101,4
1102,4
1103,0
1104,4
1105,8
1106,4
1107,8
1108,1
1109,1
1110,3
1111,4
1112,4
1113,6
1114,4
1115,6
1116,5
1117,3
1118,4
1119,0
1120,7
1121,0
1122,4
1123,4
1124,2
1125,0
1126,0
1127,7
1128,6
1129,1
1130,3
1131,4
1132,6
1133,1
1134,0
1135,1
1136,4
1137,1
1138,9
1139,4
1140,7
1141,3
1142,6
1143,6
1144,4
1145,8
1146,0
1147,1
1148,6
1149,1
1150,9
1151,9
1152,1
1153,1
1154,4
1155,4
1156,5
1157,4
1158,3
1159,4
1160,8
1161,6
1162,4
1163,1
1164,5
1165,6
1166,1
1167,6
1168,1
1169,4
1170,5
1171,6
1172,4
1173,6
1174,3
1175,5
1176,4
1177,4
1178,0
1179,4
1180,7
1181,4
1182,4
1183,6
1184,4
1185,2
1186,8
1187,4
1188,0
1189,1
1190,4
1191,3
1192,5
1193,2
1194,7
1195,3
1196,5
1197,1
1198,8
1199,2
1200,1
1201,1
1202,4
1203,4
1204,6
1205,5
1206,0
1207,4
1208,4
1209,1
1210,9
1211,6
1212,3
1213,5
1214,0
1215,8
1216,4
1217,4
1218,4
1219,6
1220,7
1221,4
1222,4
1223,4
1224,3
1225,1
1226,6
1227,5
1228,8
1229,7
1230,6
1231,1
1232,4
1233,6
1234,4
1235,6
1236,6
1237,2
1238,1
1239,6
1240,1
1241,3
1242,0
1243,1
