Id,Category
263,3
264,4
265,6
266,4
267,0
268,5
269,0
270,3
271,6
272,1
273,0
274,5
275,2
276,1
277,4
278,5
279,3
280,2
281,0
282,0
283,0
284,2
285,0
286,1
287,9
288,0
289,0
290,5
291,6
292,7
293,0
294,2
295,2
296,9
297,4
298,9
299,4
300,2
301,8
302,8
303,8
304,5
305,4
306,2
307,7
308,4
309,7
310,4
311,5
312,6
313,6
314,9
315,4
316,8
317,2
318,4
319,2
320,4
321,2
322,4
323,8
324,5
325,7
326,0
327,2
328,3
329,5
330,9
331,4
332,1
333,7
334,8
335,5
336,5
337,5
338,8
339,9
340,2
341,7
342,0
343,4
344,4
345,2
346,8
347,8
348,4
349,2
350,4
351,0
352,2
353,5
354,3
355,1
356,5
357,5
358,2
359,5
360,3
361,6
362,1
363,5
364,5
365,6
366,5
367,5
368,5
369,2
370,2
371,2
372,2
373,9
374,4
375,9
376,7
377,2
378,9
379,3
380,7
381,4
382,9
383,4
384,1
385,6
386,0
387,5
388,5
389,9
390,0
391,1
392,5
393,0
394,4
395,3
396,1
397,5
398,6
399,2
400,4
401,0
402,2
403,3
404,6
405,4
406,4
407,2
408,6
409,0
410,2
411,0
412,4
413,2
414,3
415,4
416,6
417,3
418,5
419,6
420,5
421,2
422,3
423,3
424,3
425,2
426,9
427,8
428,5
429,5
430,0
431,0
432,0
433,6
434,7
435,0
436,5
437,7
438,1
439,0
440,3
441,0
442,2
443,2
444,3
445,0
446,6
447,6
448,3
449,4
450,0
451,2
452,4
453,0
454,5
455,7
456,5
457,6
458,2
459,3
460,3
461,5
462,5
463,4
464,6
465,0
466,7
467,4
468,6
469,5
470,2
471,1
472,9
473,5
474,3
475,5
476,9
477,9
478,6
479,5
480,2
481,3
482,0
483,0
484,7
485,4
486,2
487,9
488,4
489,6
490,2
491,3
492,6
493,0
494,5
495,9
496,0
497,4
498,7
499,2
500,0
501,3
502,1
503,9
504,0
505,1
506,2
507,6
508,9
509,0
510,1
511,8
512,6
513,5
514,1
515,1
516,3
517,9
518,2
519,6
520,0
521,4
522,9
523,2
524,6
525,2
526,4
527,3
528,4
529,6
530,2
531,5
532,1
533,1
534,5
535,3
536,9
537,0
538,6
539,3
540,5
541,4
542,1
543,3
544,4
545,2
546,0
547,9
548,5
549,5
550,5
551,7
552,2
553,9
554,1
555,9
556,3
557,1
558,6
559,4
560,2
561,7
562,7
563,0
564,5
565,1
566,0
567,3
568,0
569,1
570,3
571,6
572,6
573,4
574,1
575,9
576,2
577,0
578,5
579,1
580,5
581,3
582,5
583,6
584,6
585,1
586,5
587,9
588,1
589,5
590,2
591,4
592,8
593,4
594,5
595,5
596,3
597,4
598,3
599,5
600,4
601,1
602,0
603,6
604,6
605,4
606,6
607,0
608,5
609,0
610,1
611,9
612,6
613,0
614,4
615,4
616,4
617,5
618,6
619,6
620,9
621,9
622,0
623,1
624,0
625,3
626,0
627,5
628,0
629,3
630,6
631,2
632,9
633,9
634,0
635,3
636,0
637,2
638,5
639,2
640,9
641,9
642,2
643,4
644,5
645,1
646,8
647,3
648,3
649,2
650,9
651,3
652,5
653,4
654,0
655,6
656,2
657,4
658,3
659,5
660,5
661,0
662,4
663,0
664,9
665,3
666,2
667,0
668,6
669,5
670,5
671,3
672,1
673,0
674,9
675,4
676,1
677,8
678,9
679,3
680,5
681,0
682,3
683,5
684,9
685,4
686,3
687,6
688,3
689,0
690,4
691,1
692,4
693,0
694,2
695,8
696,2
697,9
698,0
699,1
700,7
701,5
702,2
703,2
704,3
705,6
706,4
707,7
708,1
709,9
710,4
711,0
712,3
713,9
714,9
715,6
716,7
717,7
718,5
719,0
720,2
721,5
722,9
723,5
724,2
725,3
726,9
727,2
728,9
729,1
730,2
731,2
732,4
733,2
734,0
735,9
736,4
737,0
738,6
739,5
740,7
741,4
742,0
743,3
744,7
745,0
746,4
747,0
748,3
749,0
750,2
751,0
752,0
753,9
754,3
755,9
756,3
757,0
758,3
759,9
760,2
761,3
762,0
763,1
764,3
765,4
766,5
767,0
768,2
769,5
770,3
771,1
772,7
773,0
774,0
775,3
776,6
777,9
778,1
779,4
780,1
781,9
782,2
783,0
784,5
785,0
786,6
787,5
788,4
789,7
790,6
791,3
792,2
793,5
794,0
795,2
796,0
797,4
798,2
799,9
800,3
801,9
802,1
803,0
804,5
805,2
806,8
807,7
808,5
809,2
810,6
811,9
812,4
813,0
814,0
815,7
816,7
817,7
818,4
819,6
820,0
821,0
822,9
823,3
824,5
825,6
826,1
827,6
828,3
829,2
830,2
831,7
832,1
833,6
834,6
835,4
836,5
837,5
838,0
839,7
840,0
841,5
842,5
843,3
844,4
845,9
846,4
847,5
848,0
849,0
850,1
851,1
852,3
853,4
854,9
855,5
856,6
857,5
858,2
859,4
860,5
861,5
862,7
863,2
864,3
865,5
866,9
867,0
868,2
869,0
870,2
871,0
872,1
873,5
874,1
875,5
876,7
877,4
878,1
879,0
880,4
881,4
882,0
883,7
884,2
885,1
886,2
887,7
888,5
889,3
890,0
891,2
892,0
893,1
894,2
895,9
896,3
897,4
898,7
899,6
900,1
901,3
902,1
903,5
904,1
905,3
906,6
907,0
908,9
909,9
910,6
911,1
912,6
913,1
914,0
915,1
916,3
917,8
918,2
919,5
920,3
921,1
922,7
923,2
924,1
925,9
926,2
927,8
928,0
929,7
930,6
931,8
932,3
933,5
934,9
935,6
936,5
937,0
938,4
939,9
940,9
941,6
942,4
943,6
944,5
945,5
946,2
947,0
948,2
949,1
950,2
951,4
952,5
953,2
954,2
955,0
956,9
957,5
958,2
959,5
960,3
961,1
962,7
963,1
964,2
965,3
966,2
967,0
968,3
969,0
970,2
971,4
972,5
973,5
974,2
975,4
976,2
977,5
978,0
979,5
980,5
981,2
982,5
983,5
984,0
985,1
986,0
987,0
988,3
989,5
990,2
991,2
992,5
993,1
994,6
995,6
996,3
997,0
998,1
999,5
1000,0
1001,9
1002,3
1003,7
1004,6
1005,7
1006,2
1007,2
1008,5
1009,0
1010,2
1011,5
1012,6
1013,8
1014,9
1015,9
1016,5
1017,4
1018,5
1019,1
1020,1
1021,5
1022,4
1023,2
1024,4
1025,0
1026,2
1027,9
1028,0
1029,1
1030,3
1031,6
1032,0
1033,5
1034,0
1035,9
1036,2
1037,2
1038,1
1039,4
1040,1
1041,2
1042,9
1043,4
1044,7
1045,6
1046,7
1047,9
1048,4
1049,6
1050,3
1051,4
1052,1
1053,5
1054,4
1055,2
1056,3
1057,6
1058,3
1059,5
1060,5
1061,3
1062,8
1063,4
1064,8
1065,2
1066,6
1067,9
1068,4
1069,4
1070,0
1071,8
1072,7
1073,2
1074,5
1075,6
1076,6
1077,3
1078,9
1079,8
1080,0
1081,8
1082,3
1083,9
1084,7
1085,8
1086,6
1087,3
1088,0
1089,4
1090,2
1091,6
1092,2
1093,6
1094,5
1095,2
1096,5
1097,3
1098,6
1099,0
1100,2
1101,5
1102,1
1103,0
1104,2
1105,5
1106,1
1107,0
1108,5
1109,2
1110,3
1111,8
1112,7
1113,6
1114,2
1115,6
1116,5
1117,0
1118,4
1119,8
1120,7
1121,0
1122,8
1123,0
1124,2
1125,8
1126,0
1127,7
1128,6
1129,1
1130,5
1131,2
1132,6
1133,7
1134,0
1135,1
1136,5
1137,6
1138,4
1139,6
1140,5
1141,5
1142,6
1143,6
1144,2
1145,5
1146,0
1147,0
1148,6
1149,1
1150,9
1151,0
1152,7
1153,1
1154,4
1155,5
1156,5
1157,4
1158,5
1159,8
1160,5
1161,2
1162,5
1163,0
1164,5
1165,7
1166,2
1167,6
1168,2
1169,4
1170,0
1171,4
1172,4
1173,6
1174,3
1175,7
1176,4
1177,5
1178,0
1179,4
1180,5
1181,4
1182,2
1183,6
1184,2
1185,2
1186,9
1187,0
1188,0
1189,0
1190,4
1191,0
1192,1
1193,2
1194,5
1195,3
1196,7
1197,1
1198,5
1199,2
1200,2
1201,1
1202,5
1203,0
1204,1
1205,5
1206,5
1207,4
1208,4
1209,5
1210,9
1211,2
1212,1
1213,8
1214,5
1215,5
1216,5
1217,4
1218,0
1219,6
1220,7
1221,4
1222,4
1223,0
1224,0
1225,3
1226,5
1227,5
1228,8
1229,5
1230,6
1231,1
1232,4
1233,6
1234,0
1235,5
1236,0
1237,2
1238,2
1239,7
1240,5
1241,7
1242,0
1243,7
